# Body mass, percent mutualistic interaction outcomes, and type of fruit 
# consumption/dispersal for the assemblages of Prunus mahaleb and Euterpe edulis.
# Pedro Jordano, Seviolla. 21 Jan 2025.
# From Jordano and Schupp (2000) and Galetti et al. (2013).
#
species	sp_plant	type	pct_mut	body_mass
Columba palumbus	Prunus mahaleb	SD	100,00	490,00
Corvus corone	Prunus mahaleb	SD	100,00	520,00
Dendrocopos major	Prunus mahaleb	SD	94,44	73,53
Erithacus rubecula	Prunus mahaleb	SD	100,00	15,42
Ficedula hypoleuca	Prunus mahaleb	SD	100,00	13,64
Muscicapa striata	Prunus mahaleb	SD	100,00	16,48
Phoenicurus ochruros	Prunus mahaleb	SD	81,93	16,36
Phoenicurus phoenicurus	Prunus mahaleb	SD	96,43	15,84
Sylvia atricapilla	Prunus mahaleb	SD	99,30	17,92
Sylvia borin	Prunus mahaleb	SD	100,00	18,95
Sylvia cantillans	Prunus mahaleb	SD	53,57	11,48
Sylvia communis	Prunus mahaleb	SD	81,37	16,90
Sylvia conspicillata	Prunus mahaleb	SD	69,40	9,50
Sylvia melanocepha	Prunus mahaleb	SD	75,00	11,54
Turdus merula	Prunus mahaleb	SD	92,71	86,90
Turdus viscivorus	Prunus mahaleb	SD	99,80	109,20
Garrulus glandarius	Prunus mahaleb	SD/PC	12,14	160,38
Parus ater	Prunus mahaleb	SD/PC	0,00	8,52
Sitta europaea	Prunus mahaleb	SD/PC	6,67	19,56
Fringilla coelebs	Prunus mahaleb	PC	0,00	19,57
Parus caeruleus	Prunus mahaleb	PC	0,00	9,75
Parus cristatus	Prunus mahaleb	PC	0,00	10,52
Parus major	Prunus mahaleb	PC	0,00	17,22
Serinus citrinella	Prunus mahaleb	PC	0,00	12,00
Serinus serinus	Prunus mahaleb	PC	0,00	11,24
Coccothraustes coccothraustes	Prunus mahaleb	SP	0,00	45,99
Carpornis cucullata	Euterpe edulis	SD	71,00	75,70
Carpornis melanocephala	Euterpe edulis	SD	NA	64,20
Lipaugus lanioides	Euterpe edulis	SD	100,00	94,80
Lipaugus vociferans	Euterpe edulis	SD	100,00	69,20
Procnias nudicollis	Euterpe edulis	SD	98,00	174,00
Pyroderus scutatus	Euterpe edulis	SD	100,00	357,00
Tijuca atra	Euterpe edulis	SD	NA	80,00
Mimus saturninus	Euterpe edulis	SD	NA	73,00
Baryphthengus ruficapillus	Euterpe edulis	SD	100,00	175,00
Celeus flavescens	Euterpe edulis	SD	100,00	201,00
Aramides cajanea	Euterpe edulis	SD	NA	397,00
Pteroglossus aracari	Euterpe edulis	SD	100,00	232,00
Pteroglossus bailloni	Euterpe edulis	SD	100,00	139,00
Ramphastos dicolorus	Euterpe edulis	SD	98,00	400,00
Ramphastos vitellinus	Euterpe edulis	SD	93,00	361,50
Selenidera maculirostris	Euterpe edulis	SD	96,00	160,00
Tityra cayana	Euterpe edulis	SD	8,00	68,10
Trogon rufus	Euterpe edulis	SD		52,80
Trogon surrucura	Euterpe edulis	SD		73,30
Trogon viridis	Euterpe edulis	SD	50,00	87,60
Turdus albicollis	Euterpe edulis	SD	71,00	54,10
Turdus amaurochalinus	Euterpe edulis	SD	82,00	63,10
Turdus flavipes	Euterpe edulis	SD	76,00	60,00
Turdus leucomelas	Euterpe edulis	SD	73,00	68,60
Turdus rufiventris	Euterpe edulis	SD	86,00	69,50
Turdus subalaris	Euterpe edulis	SD	100,00	49,50
Myiodynastes maculatus	Euterpe edulis	SD	100,00	45,90
Pitangus sulphuratus 	Euterpe edulis	SD	100,00	61,00
Aburria jacutinga	Euterpe edulis	SD	100,00	1250,00
Crax blumenbachii	Euterpe edulis	SD	NA	3500,00
Penelope obscura	Euterpe edulis	SD	93,00	960,00
Penelope superciliaris	Euterpe edulis	SD	NA	850,00
Cyanocorax caeruleus 	Euterpe edulis	SD/PC	47,00	272,00
Euphonia pectoralis	Euterpe edulis	SD/PC	0,00	16,50
Euphonia violacea	Euterpe edulis	SD/PC	0,00	15,00
Cacicus haemorrhous	Euterpe edulis	SD/PC	NA	102,00
Pionus maximiliani	Euterpe edulis	SP/PC	0,00	293,00
Dacnis cayana	Euterpe edulis	SD/PC	0,00	11,20
Lanio melanops	Euterpe edulis	SD/PC	NA	28,00
Orthogonys chloricterus	Euterpe edulis	SD/PC	0,00	16,00
Saltator similis	Euterpe edulis	SD/PC	NA	43,30
Tachyphonus coronatus	Euterpe edulis	SD/PC	40,00	29,30
Tangara cayana	Euterpe edulis	SD/PC	0,00	18,00
Tangara cyanocephala	Euterpe edulis	SD/PC	0,00	20,40
Tangara cyanoptera	Euterpe edulis	SD/PC	0,00	43,30
Tangara ornata	Euterpe edulis	SD/PC	0,00	NA
Tangara palmarum	Euterpe edulis	SD/PC	0,00	30,00
Tangara sayaca	Euterpe edulis	SD/PC	0,00	32,00
Tangara seledon	Euterpe edulis	SD/PC	0,00	18,70
Oxyruncus cristatus	Euterpe edulis	SD/PC	NA	42,00
Cyclarhis gujanensis	Euterpe edulis	SD/PC	0,00	NA
Geotrygon montana	Euterpe edulis	SP	NA	115,00
Amazona brasiliensis	Euterpe edulis	SP/PC	NA	425,00
Brotogeris tirica	Euterpe edulis	SP/PC	0,00	63,00
Pyrrhura frontalis	Euterpe edulis	SP/PC	0,00	72,00
Triclaria malachitacea	Euterpe edulis	SP/PC	0,00	90,00
Crypturellus tataupa	Euterpe edulis	SP	0,00	264,00
Tinamus solitarius	Euterpe edulis	SP	0,00	1284,00